Delta,Theta,Alpha,Beta,Gamma
-1.1473416299821178e-08,-1.941689756306428e-08,-1.9416897563064273e-08,-6.42608240408256e-06,-0.00011604779157044651
-1.0073234625031241e-07,-1.697926442660282e-07,-1.690217233669613e-07,-5.2017931622177786e-05,-0.0007526697029409863
-4.450489272149472e-07,-7.461816148041791e-07,-7.379470742696979e-07,-0.0002066778985315012,-0.002147924550863471
-1.3503049519253656e-06,-2.248521132247188e-06,-2.2036920440033133e-06,-0.0005480668527684519,-0.0033761869160498664
-3.2236043093980197e-06,-5.3226403944185896e-06,-5.154508286752757e-06,-0.001108120524353121,-0.0024804316825579914
-6.532252447966175e-06,-1.0676481155945442e-05,-1.0182894029868807e-05,-0.0018357530057330962,0.0016897366047937772
-1.176536003882147e-05,-1.9000995635059377e-05,-1.7783827657917634e-05,-0.002591833476153879,0.007778532258935116
-1.9400734541994823e-05,-3.090158320346734e-05,-2.826745250989264e-05,-0.0031733620924150265,0.01222848686532504
-2.9878619378041027e-05,-4.6843745352565114e-05,-4.169308731054741e-05,-0.003357934792872236,0.01153014858677551
-4.3582090145078804e-05,-6.711334030082778e-05,-5.782726147640866e-05,-0.002956005571266463,0.004732795500656095
-6.0822919750371914e-05,-9.178985115552862e-05,-7.612557234615495e-05,-0.0018582488474356551,-0.0056353310117636
-8.183212792210086e-05,-0.00012073155559610335,-9.57377506332234e-05,-6.821424326348474e-05,-0.014883293948972505
-0.00010675558159560005,-0.00015357324340626056,-0.00011553624944746935,0.0022851217557193835,-0.018797756998524165
-0.0001356556093988785,-0.00018973791214976462,-0.0001341686350749843,0.0049561469676642515,-0.015889796074623642
-0.00016851890675774386,-0.00022846244683058728,-0.00015013181308024868,0.0076109474895659545,-0.007927696665666811
-0.00020526951681511298,-0.00026883452842282315,-0.0001618626239961412,0.009871190500789715,0.001368751494051429
-0.00024578454671490374,-0.00030983597132727957,-0.0001678367706332513,0.011367595942026564,0.008471077568029702
-0.00028991025525194734,-0.000350387632066143,-0.00016666775521585666,0.011795273535607845,0.011671205685213615
-0.0003374768994891792,-0.0003893923742166383,-0.00015719892220703897,0.010962376766151525,0.011380925306848373
-0.00038831131470340875,-0.00042577367743952733,-0.00013858311683273623,0.008824410665719706,0.009229474932801417
-0.000442246102712283,-0.0004585074419500084,-0.00011034492044478381,0.005499079095681496,0.006774479852718664
-0.0004991239584315322,-0.0004866441280354432,-7.24206582115762e-05,0.0012598113205066098,0.004684451074055464
-0.0005587959651870804,-0.0005093191064573821,-2.5172908369521982e-05,-0.003491029413632951,0.0027495763766828543
-0.0006211139396719492,-0.000525751461762337,3.062049949731221e-05,-0.008266150897198694,0.00046961906194093643
-0.0006859183509663342,-0.0005352341361921559,9.379950005301771e-05,-0.0125496741778466,-0.0023283655705208964
-0.000753023810292069,-0.0005371192036624795,0.00016287171588342687,-0.015859052840770403,-0.005256967778391087
-0.0008222032442141907,-0.0005308005831174492,0.00023607516460934832,-0.017804185221561564,-0.007572971486834542
-0.0008931705396409049,-0.0005156942566026994,0.0003114515262135324,-0.018135085420950086,-0.008585620258957717
