Delta,Theta,Alpha,Beta,Gamma
-7.288450925143138e-10,-1.233452193390133e-09,-1.2334521933901327e-09,-4.082148247668094e-07,-7.371898759096028e-06
-6.305878368947032e-09,-1.062844694543412e-08,-1.0579474442448206e-08,-3.2522720492766824e-06,-4.6871324592812744e-05
-2.7624588540679595e-08,-4.6311524792542066e-08,-4.579468459457655e-08,-1.2802485013066747e-05,-0.00013206234202188462
-8.437981951851132e-08,-1.4051754378815995e-07,-1.377251619809017e-07,-3.431306836643379e-05,-0.0002154769802782047
-2.0775801568290065e-07,-3.4331250788724346e-07,-3.32825235684823e-07,-7.284374491101316e-05,-0.00021953594510420055
-4.464959162901842e-07,-7.316257629726129e-07,-7.003853363149999e-07,-0.00013378793757143226,-0.00013236874955476247
-8.736333805345383e-07,-1.418810114307866e-06,-1.3394042924369878e-06,-0.00022264932111762384,-1.318321927963567e-05
-1.5881688635249645e-06,-2.554741202714186e-06,-2.3748501026182934e-06,-0.0003409584298388864,0.00012612725545826345
-2.708793093968019e-06,-4.3118281537650375e-06,-3.938834351322532e-06,-0.00047922781023933866,0.00039083369449788925
-4.36258912295209e-06,-6.8623112053524845e-06,-6.142815416540098e-06,-0.0006119575959892733,0.0008740839813033996
-6.674688144228159e-06,-1.0357539739541397e-05,-9.052594917696965e-06,-0.0006996492536091556,0.0014270049907424579
-9.76242138876951e-06,-1.4915561484663936e-05,-1.2673372927444175e-05,-0.000698141872974791,0.0016133379066707728
-1.3731946622807042e-05,-2.061367861448551e-05,-1.6942040721601446e-05,-0.0005703838341458836,0.001005045050668074
-1.8672255161247993e-05,-2.7477388263381e-05,-2.171836997538314e-05,-0.0002947324797589299,-0.0003832519291739177
-2.464423957337089e-05,-3.5462030256173604e-05,-2.677172316478765e-05,0.00013210056409976864,-0.0019440262453511306
-3.166880265674629e-05,-4.443432645948215e-05,-3.177096636052908e-05,0.000694252905220359,-0.0028415109572059254
-3.9721788845556816e-05,-5.4167314994982434e-05,-3.6291471597530906e-05,0.0013538072825273477,-0.0026464552800243295
-4.8740769990988075e-05,-6.435706238621834e-05,-3.984731752419105e-05,0.00204575381326414,-0.0016871391202225201
-5.864137729370171e-05,-7.465657781607572e-05,-4.194287520308875e-05,0.0026762703739900404,-0.0007597331792565066
-6.933533856247736e-05,-8.471275543372416e-05,-4.21276538757975e-05,0.003130841706106734,-0.00041234532657260576
-8.074362040854733e-05,-9.419445827528728e-05,-4.004049933871115e-05,0.00329353166715861,-0.00044268320243511975
-9.280490299111422e-05,-0.0001028117833184305,-3.5441628394517785e-05,0.003071204265942348,-0.00010024706180538063
-0.00010548564106759045,-0.00011033691502579265,-2.8241845425661802e-05,0.0024130369640109287,0.001147697047405272
-0.00011879745303187027,-0.00011663590871381634,-1.853731840716322e-05,0.001319269557271067,0.0029758405990221843
-0.000132820801148359,-0.00012170891476658333,-6.64621398761112e-06,-0.00015943237926136156,0.004313009671567113
-0.00014772698457195808,-0.00012572448802964287,6.86847825847699e-06,-0.0019258823741590536,0.004176245665783898
-0.0001637896916027845,-0.0001290326570572329,2.1206059795303315e-05,-0.0038392726308996163,0.002523448300303837
-0.000181383464963318,-0.0001321524038151611,3.5369195819189124e-05,-0.005718929998677773,0.0003582481124283165
-0.00020097389355192325,-0.00013574236418384985,4.822854741375764e-05,-0.007354953669143694,-0.0010447524734185408
-0.0002231065411903337,-0.000140567427605384,5.859587143611573e-05,-0.008529589519841611,-0.0011476580714511215
-0.00024839698525388077,-0.00014746591348136612,6.529827256777194e-05,-0.009046303083361695,-0.0005240278962490265
-0.00027751771248523045,-0.00015731068259755874,6.725765623191253e-05,-0.008757968105484714,-0.0002847481160193622
-0.00031117564248182416,-0.0001709544031526761,6.358242479728025e-05,-0.007586262310367528,-0.00107183327110454
-0.0003500788812155905,-0.00018915781211772929,5.3669389852666565e-05,-0.005530432262998624,-0.002506030055564216
-0.0003948985984798181,-0.00021251247877899368,3.730082190006325e-05,-0.0026693844736898234,-0.003551576985623366
-0.00044623489762040964,-0.00024137451769771644,1.471681016070432e-05,0.000838578464486177,-0.0034366513347614727
-0.0005045913503815748,-0.0002758181220705462,-1.3348376695946415e-05,0.004758950386955841,-0.0022896176629904007
-0.0005703552635648861,-0.00031560440749112963,-4.56625173449687e-05,0.008792558616587143,-0.0009424226502911008
-0.0006437766452857768,-0.0003601539235497632,-8.051255375565012e-05,0.012600248898926119,-0.0001295842701041758
-0.0007249419675007526,-0.00040851663163956844,-0.00011573568087327431,0.015839079746263737,0.00014668241188000921
-0.0008137463268736276,-0.0004593460252155053,-0.0001487699970636902,0.018201243210839296,0.0004985582629343782
-0.0009098727202524673,-0.0005108925658609254,-0.00017673819605691947,0.01944511175938793,0.001419703223766758
-0.001012785338166167,-0.0005610279622563344,-0.0001965729906641699,0.019412847764171095,0.0026595331538325764
-0.0011217367111595875,-0.0006072991269036222,-0.00020517877774881742,0.01803663894785745,0.003329548931395819
-0.001235782377419225,-0.0006469997142873955,-0.00019961185021211036,0.01533968049475607,0.002681267673693502
-0.0013537964700097273,-0.0006772465983906088,-0.00017726032574527217,0.011435877931852523,0.0008574056495303696
-0.001474486749618889,-0.0006950574789067098,-0.0001360139041862871,0.0065268252005126525,-0.0010846162047138655
-0.00159641295435866,-0.0006974349257588664,-7.442312201166965e-05,0.0008914245614270258,-0.0019409882620007226
-0.0017180129773195836,-0.000681463069921077,8.150950753751233e-06,-0.00513443442636667,-0.0012851073946794672
-0.0018376370265412148,-0.0006444154550078442,0.00011140304170488444,-0.011185418342075776,0.00022898907903737736
-0.0019535848460057155,-0.0005838637989758053,0.00023398079021722646,-0.016895082855294855,0.0014219776160228808
-0.0020641399638071296,-0.000497775685411651,0.00037342811522745033,-0.02191957963511789,0.0015148192177583722
-0.0021675986614107436,-0.00038459590769636783,0.0005261820314579453,-0.02595582778102853,0.0006536056337770004
-0.002262296496656025,-0.00024331525812075315,0.0006876192386065675,-0.028757032542644938,-0.00035379358685061496
-0.0023466373753010697,-7.35343544544254e-05,0.0008521433952805882,-0.030148295347802487,-0.000793222505976089
-0.0024191278650563404,0.00012447386944358974,0.00101330672276274,-0.030041490123965134,-0.0006134285209782361
-0.0024784150003601874,0.00034970698739842553,0.0011639662006246135,-0.02844501233940367,-0.0003508025123968071
-0.0025233228642043202,0.000600390097392299,0.0012964784903493254,-0.025463561549709624,-0.0005386998775259793
-0.002552883470699347,0.0008739551532102112,0.0014029357401812769,-0.021286057142142302,-0.0011569938988684992
-0.0025663597363746547,0.00116704641375689,0.0014754387492326893,-0.01616377870213433,-0.0016001640268946413
-0.0025632603243416897,0.001475551951677746,0.001506398842047067,-0.010383337438077306,-0.0011742561936210474
-0.0025433468168407592,0.0017946596125303076,0.0014888572682111173,-0.004239406399146416,0.00030050725900058643
-0.0025066337679121448,0.002118935295985552,0.0014168098005606432,0.001988749705677667,0.0022587624669871105
-0.0024533827857715395,0.0024424201090966456,0.001285522659292094,0.008053951306928738,0.0036900538090644647
-0.002384092682682127,0.002758741211125965,0.0010918243818225275,0.013749245379750964,0.0037377278794194927
-0.0022994875521253257,0.00306123136196478,0.0008343591750716439,0.018907830884195086,0.002197633312042036
-0.002200502632523271,0.003343055544270295,0.0005137918312902749,0.02339771574649568,-0.00035958595639377943
-0.0020882651860024363,0.003597347418735265,0.0001329601493424686,0.02711570001620289,-0.0028642563531650644
-0.001964066780016212,0.003817359596636168,-0.0003030264356377697,0.02998436528061108,-0.004249387010499271
-0.0018293256715430986,0.003996627497236571,-0.0007867460160213995,0.03195245872151235,-0.003944597815609319
-0.001685542176924063,0.004129139235976627,-0.0013084908744306605,0.0329956914510316,-0.002156668894278473
-0.0015342528924327228,0.004209498949805289,-0.0018563744204790982,0.03311419221887351,0.0001973823084285662
-0.001376989207952698,0.0042330719923919504,-0.0024165276916499564,0.032325343992890776,0.0019160513536020587
-0.0012152423798801125,0.004196106301516943,-0.002973386016825194,0.030654449123379664,0.0021305274062106494
-0.0010504343822455942,0.004095829885196806,-0.0035100579364692576,0.028127599221142347,0.0007914534517444602
-0.0008838932684070677,0.003930525576579378,-0.004008764680099184,0.024769890858044374,-0.0012856421318651371
-0.0007168336331949813,0.003699581389255332,-0.004451339116198825,0.020609091597515998,-0.0028876183521879756
-0.00055034447813088,0.0034035122981075955,-0.0048197737207930315,0.015682698736388452,-0.0031133890119695172
-0.0003853861290225967,0.0030439508795324847,-0.005096803903799366,0.010046484173275808,-0.0018680238767516228
-0.0002227950890501494,0.0026236094449536523,-0.005266506618401355,0.0037840675405982293,0.00017644540616699366
-6.329328468637249e-05,0.0021462207876634617,-0.00531488910055511,-0.0029824292917700846,0.002086886728525293
9.250172514124265e-05,0.001616464645920486,-0.005230442816966787,-0.01008207635419393,0.0032447484855184536
0.0002440666055538817,0.0010398829679529467,-0.005004642714460514,-0.017288805354968188,0.0035844090081077603
0.00039096097007817104,0.00042278335675625207,-0.00463237714879195,-0.02432321387488319,0.0033949376728454046
0.0005328139554309918,-0.0002278694803342166,-0.004112295380924917,-0.03086445370728433,0.002940369975377167
0.0006693099951528005,-0.0009045703010838598,-0.003447057675010568,-0.03657060283743106,0.0022539274336279462
0.0008001772145478319,-0.001599390415218905,-0.002643472244277785,-0.04110365488315578,0.0012455275276319743
