Delta,Theta,Alpha,Beta,Gamma
-7.2403802900287235e-09,-1.2253170174894508e-08,-1.2253170174894501e-08,-4.055224630988498e-06,-7.323277747719465e-05
-6.404529960779192e-08,-1.0795683898558585e-07,-1.0747034391411681e-07,-3.309369050554665e-05,-0.00047980660863917887
-2.8539694410798567e-07,-4.785476782852079e-07,-4.7331913315252595e-07,-0.00013278838466138361,-0.0013903633750491611
-8.741754678972785e-07,-1.45595940081028e-06,-1.4273032451882828e-06,-0.0003563067601014047,-0.002247504155231489
-2.1084679572392257e-06,-3.482677570741596e-06,-3.3744283187789834e-06,-0.0007306970262308883,-0.001805293342045656
-4.319407424642937e-06,-7.064222158307428e-06,-6.744019412984897e-06,-0.0012316758373752531,0.0007423475688265431
-7.8684954475476e-06,-1.2720375872131422e-05,-1.1924487877452825e-05,-0.0017770602476785235,0.004663284516969506
-1.3123536255853279e-05,-2.093458474747018e-05,-1.9197952147670938e-05,-0.002236853948108254,0.00781454451745787
-2.043212156496624e-05,-3.210066687765148e-05,-2.867627278312515e-05,-0.0024554207534420087,0.007989453781902028
-3.0094079213191308e-05,-4.647020619373215e-05,-4.0244212007525945e-05,-0.002281253320891354,0.004431080829208012
-4.233767726221435e-05,-6.410965303191476e-05,-5.352077938001858e-05,-0.0016005823909564793,-0.0016220392506061697
-5.730545549989117e-05,-8.48776530519253e-05,-6.785061983740869e-05,-0.00037028584377516886,-0.007680146843296527
-7.505261495504026e-05,-0.00010842760545388424,-8.233063725004847e-05,0.001356810186629265,-0.011405364227267675
-9.555558168537831e-05,-0.00013423091918928845,-9.586620205786863e-05,0.0034226215800430624,-0.011691039430200669
-0.00011872459881133039,-0.00016160977733596608,-0.00010724357420630397,0.005576602065003531,-0.008849013038653535
-0.00014441487614919444,-0.0001897693927171478,-0.00011520582814806367,0.007510387016824565,-0.004064217665631378
-0.00017243518732600933,-0.00021782731452462255,-0.0001185271187846866,0.008906594239273355,0.0012970448168282249
-0.0002025570109369143,-0.0002448445798524328,-0.00011608751341658349,0.009489920695264166,0.006070544985562839
-0.00023452775050922925,-0.00026986414814575833,-0.00010695129009436823,0.009069958077706724,0.009356225758646005
-0.00026808797563262885,-0.0002919557638219835,-9.044519829318537e-05,0.007570220806146648,0.010537752008465148
-0.0003029882293767368,-0.0003102588539952222,-6.62256435587373e-05,0.005042728929424112,0.009445929702008004
-0.00033899952402418633,-0.00032401284052437004,-3.432194644573608e-05,0.0016691667483663172,0.006545021942275862
-0.0003759142424555658,-0.00033256904873938927,4.851478395099404e-06,-0.0022514848889004374,0.0028613706393765498
-0.0004135384096744886,-0.0003353860177325762,5.051241816765461e-05,-0.006329985945637628,-0.0004523296301128527
-0.0004516788219839653,-0.0003320145571971862,0.00010155045143823716,-0.010128203663229413,-0.0026814643672802814
-0.0004901280247161653,-0.00032207812861461646,0.00015658168755504576,-0.013210737112253373,-0.0038388108174905846
-0.0005286482710009745,-0.0003052509637716882,0.00021401423570222477,-0.015199324143342708,-0.004461760088450441
-0.0005669549808980993,-0.0002812352838256819,0.0002721207570228563,-0.015821804560373003,-0.005086973150821259
-0.0006047016537084314,-0.0002497413897977907,0.00032911189559728995,-0.014949305621491481,-0.005815872006079359
-0.0006414699145873241,-0.00021047719467864174,0.000383201656527792,-0.012617824360287317,-0.006278234385212906
-0.0006767680320707426,-0.00016315289329563336,0.0004326570686086363,-0.00903172668814078,-0.005957470100648954
-0.0007100384403741813,-0.00010750134362092028,0.0004758302530720563,-0.004547157032596292,-0.00457282703290934
-0.0007406717187129675,-4.330921587096831e-05,0.0005111772332759216,0.0003651665965112997,-0.002236825697716716
-0.0007680237849280084,2.9547327188243953e-05,0.0005372696028003676,0.005174617668080632,0.0006471687895779792
-0.0007914352092218043,0.0001110649980619053,0.0005528017365367994,0.009354953012541129,0.003571421407784194
-0.0008102542012455756,0.00020107189181230018,0.00055659184819352,0.012447598320173751,0.0060289248412303985
-0.0008238650139988007,0.00029918000680427954,0.0005475751491900108,0.014114370456403371,0.0075445510239218186
-0.0008317205668312396,0.0004047347812952797,0.0005247927255615514,0.014174205800096082,0.007756351934114023
-0.0008333743888358056,0.0005167709254319706,0.00048738611225715195,0.01262261756770748,0.006594403675715837
-0.0008285057713839757,0.0006339856216288395,0.00043460902921398775,0.009634257914453832,0.004424834448683994
-0.0008169343724096279,0.0007547356932371812,0.0003658625198331331,0.005548287604127629,0.0019633078015877316
-0.0007986243588663319,0.0008770583033143709,0.0002807517170753509,0.0008357532206145495,-7.59043425152843e-05
