Delta,Theta,Alpha,Beta,Gamma
-8.572498556735993e-09,-1.4507564441660975e-08,-1.4507564441660968e-08,-4.801323397924896e-06,-8.670647867676143e-05
-7.671571926883028e-08,-1.2932045844720202e-07,-1.2874445578836783e-07,-3.967925459944103e-05,-0.0005770559122775789
-3.468020424091228e-07,-5.815962758018751e-07,-5.753461549160109e-07,-0.00016186192841909948,-0.001715571638433614
-1.0802823366525836e-06,-1.7998428155061332e-06,-1.765203243507718e-06,-0.00044350015612008517,-0.002911237996085181
-2.6550995325715446e-06,-4.388444462391471e-06,-4.255941512356331e-06,-0.000933376155280814,-0.0026941376772164675
-5.551853474797635e-06,-9.090158497052239e-06,-8.692808752676854e-06,-0.0016246964840380634,3.7822226682012873e-05
-1.034052584964178e-05,-1.6747619474310462e-05,-1.5745346729025702e-05,-0.0024429847497580127,0.004654288677030078
-1.766988531324112e-05,-2.8268143873848437e-05,-2.6046549488566418e-05,-0.0032545602467790465,0.008740134463607024
-2.8258115703126882e-05,-4.4589920893277835e-05,-4.0134826955272135e-05,-0.003890011498988899,0.00956349825459443
-4.2880045645752744e-05,-6.664230979211956e-05,-5.839356661017369e-05,-0.004173816311818688,0.0059908686346670705
-6.234684849250105e-05,-9.529401297892776e-05,-8.09842064819263e-05,-0.003952597057838791,-0.0005924413830705161
-8.747827882050754e-05,-0.00013129031814833214,-0.00010777640879999389,-0.0031187329612640436,-0.007052627503074469
-0.00011907205473494858,-0.00017518847033032441,-0.00013828691441286013,-0.0016293889625772229,-0.010425462568744055
-0.00015787606881763783,-0.000227301935882184,-0.00017164004053517453,0.0004790958945995054,-0.009640207659149469
-0.00020456586435623866,-0.0002876584874395335,-0.00020655614601712167,0.0030841955499987727,-0.005909042603446825
-0.0002597251008048618,-0.00035596873481043,-0.00024136506295034313,0.00598211200836375,-0.0016440092434963603
-0.0003238245433328572,-0.00043159790007558333,-0.00027403679598732896,0.008907374048750543,0.0012081375219277523
-0.0003971971084839575,-0.0005135370959364335,-0.0003022247038733336,0.011564909714896402,0.00221560279852729
-0.00048001077901739866,-0.0006003777087351173,-0.0003233233632081261,0.013667513858627453,0.0022768359445595686
-0.000572244229623095,-0.0006902975247506643,-0.00033454789781585707,0.014970122107757595,0.0025423503510899224
-0.0006736697373390044,-0.0007810664549654886,-0.00033304003926720136,0.015294776486393758,0.0033802627520315848
-0.0007838452773478729,-0.0008700747286609253,-0.00031600024660749304,0.014544433641550586,0.004154887427280319
-0.0009021151474118409,-0.0009543816686457097,-0.00028083951921594597,0.012706971784309348,0.0038722202224907
-0.0010276176847059714,-0.0010307815276539712,-0.0002253422006889547,0.009851691694880758,0.002086816759835638
-0.0011592992318503327,-0.0010958836474212193,-0.00014783146468003904,0.006120148366998869,-0.0006540076274527083
-0.0012959339919045095,-0.0011462048332985403,-4.732970237885935e-05,0.001712763963410774,-0.003120094530028617
-0.0014361490607351457,-0.001178271080820382,7.629457023316163e-05,-0.0031271660896812596,-0.00417359662643898
-0.0015784534135413896,-0.001188724822288278,0.00022220220330290837,-0.00813039880775007,-0.0034375791441510015
-0.0017212699068971742,-0.0011744343199622243,0.00038848903238848014,-0.013018522029504546,-0.0014451116167251354
-0.0018629702313403143,-0.0011326033341744098,0.0005721268747695776,-0.017520287365665462,0.0007456853154619214
-0.002001912850040941,-0.0010608793881997519,0.0007689438213340936,-0.021387142377636593,0.002166322266934479
-0.002136482369136722,-0.0009574563022317937,0.000973649142190966,-0.024406526731968674,0.002414031975631206
-0.0022651264758039996,-0.0008211629154666764,0.0011799104471032316,-0.026410655657679097,0.0017677819320616659
