Delta,Theta,Alpha,Beta,Gamma
-7.465878126000884e-09,-1.2634788715296668e-08,-1.2634788715296663e-08,-4.181522469228882e-06,-7.551357381410538e-05
-6.707728919812085e-08,-1.1307461495151677e-07,-1.125729682469245e-07,-3.470536987922327e-05,-0.0005052420248460909
-3.049775242411942e-07,-5.114848153560861e-07,-5.060237295757072e-07,-0.00014251458150271704,-0.0015177436575166117
-9.574788433863948e-07,-1.5954806974917373e-06,-1.5650810856594062e-06,-0.00039435378533775615,-0.0026351480610371735
-2.3767719483617734e-06,-3.929680133116626e-06,-3.8127396229469264e-06,-0.0008415014505567379,-0.0026117510761156813
-5.0281455450921035e-06,-8.23762469838413e-06,-7.884528040302463e-06,-0.0014918507315432605,-0.0004531890071013025
-9.485140772859596e-06,-1.53775644668885e-05,-1.447978943104902e-05,-0.0022955143899956003,0.003451710329779332
-1.6421538571016266e-05,-2.631077013634425e-05,-2.4303134936765284e-05,-0.0031446819152558592,0.007238506476688281
-2.659948160726089e-05,-4.206186101104692e-05,-3.799773876497437e-05,-0.003886330724047587,0.008661178619626182
-4.08536840901173e-05,-6.367188005293319e-05,-5.607364718797931e-05,-0.0043448263949241355,0.006548797066791918
-6.007236529734745e-05,-9.214611037911554e-05,-7.883568881677815e-05,-0.004350400196764231,0.001578108301219683
-8.517583372681408e-05,-0.0001283991734530023,-0.00010631610867189527,-0.0037688087475640634,-0.004122233562036742
-0.00011709323421608648,-0.00017319924849764035,-0.0001382161581886462,-0.0025271453921877672,-0.008191043060874158
-0.00015673704236153038,-0.00022711166490649873,-0.0001738589552664819,-0.0006310851478550991,-0.009247547387976186
-0.00020497421961940748,-0.0002904409932856593,-0.00021215440794670586,0.0018297563050021202,-0.00739648328840245
-0.0002625933988421251,-0.0003631715824911019,-0.00025157741604366036,0.004689098249506478,-0.003876191919736169
-0.00033026925907880654,-0.00044490955970711334,-0.0002901632055494862,0.007721591145214394,-0.0002374278549056404
-0.00040852749789415657,-0.0005348330576523735,-0.00032552683096733316,0.01066617338458247,0.0023834739203178247
-0.0004977149970962198,-0.0006316592006991346,-0.00035491481578654824,0.013250358435450799,0.0035523663513392263
-0.0005979788332496598,-0.0007336343587748868,-0.0003752937424479715,0.015212422234917469,0.003413007491712969
-0.0007092550441093184,-0.0008385490341245588,-0.0003834741439950482,0.016321078814254313,0.002408403692339604
-0.0008312652225021144,-0.0009437734988783471,-0.0003762615573811369,0.01639381391246892,0.0010728275056259926
-0.000963517954009214,-0.0010463082367010291,-0.00035062360294730883,0.015314474900780565,-6.88624076151779e-05
-0.0011053134532574864,-0.0011428453740000137,-0.0003038635710218936,0.013048527185345589,-0.0005937132579718123
-0.001255752261720712,-0.0012298414321205077,-0.0002337949605272537,0.00965245494992983,-0.0003292062976249569
-0.0014137503842406398,-0.0013036041177181706,-0.00013891378379257433,0.005273901217805893,0.0005190451011869034
-0.001578062366946717,-0.0013603941163041152,-1.8563751423229105e-05,0.0001415836425799905,0.0014143953941709265
-0.001747311075577076,-0.001396537943301597,0.0001269152707316348,-0.005452738511340146,0.001770877672466093
-0.0019200203620742442,-0.0014085434357177266,0.00029606909761293796,-0.011176099979594933,0.001327407939002197
