Delta,Theta,Alpha,Beta,Gamma
7.058437229675348e-10,1.1945261033199111e-09,1.1945261033199105e-09,3.953321146609571e-07,7.139251562372152e-06
6.186566337924538e-09,1.0427894956537491e-08,1.0380467959792035e-08,3.194269534678214e-06,4.619818300049369e-05
2.7377089933600508e-08,4.5901788731734884e-08,4.539590458862486e-08,1.2717547753311372e-05,0.00013236016902623231
8.366905697890451e-08,1.3934260678152708e-07,1.3658621748192135e-07,3.4056670564513144e-05,0.0002138233753885839
2.0285102124868196e-07,3.3508932502666397e-07,3.2470781054731076e-07,7.048540044795309e-05,0.0001844144240391303
4.218030375597173e-07,6.902401577849019e-07,6.594962215525187e-07,0.00012215938731934925,-8.560648993631982e-06
7.889127377106378e-07,1.2774739371484502e-06,1.2005705366653554e-06,0.0001865587219890724,-0.0002793259300119801
1.367786463634875e-06,2.1897261156671477e-06,2.0198128454669032e-06,0.0002597928165323161,-0.00044457016352987755
2.241343339129879e-06,3.545055307594924e-06,3.203457478956769e-06,0.00033771170162154746,-0.0003648419092730173
3.5154067996787275e-06,5.4901044188451795e-06,4.852204252921258e-06,0.0004161847868997645,-6.620267251457743e-05
5.321695009234523e-06,8.201943597120341e-06,7.079130491647733e-06,0.0004907796563201828,0.0002661030788614873
7.82114533002967e-06,1.1889863835350167e-05,1.0007042212633046e-05,0.0005567353512218753,0.00042475078847742956
1.1208840777355525e-05,1.6799226307710347e-05,1.3767458234118458e-05,0.0006099212108055391,0.000338937393273517
1.5720914414691873e-05,2.3217887759564362e-05,1.8501766842661827e-05,0.0006484325129831458,0.00012109931336547425
2.1642188241361284e-05,3.1482922866518896e-05,2.436220724943337e-05,0.0006734395774841436,-4.19560131904494e-05
2.9312176528615578e-05,4.198348765167218e-05,3.150845906744518e-05,0.0006878808554212567,-6.355772810107237e-05
3.912738116187914e-05,5.515630945374354e-05,4.0096439294863646e-05,0.0006928286938994234,-4.336388542342399e-05
5.153934202134483e-05,7.147307930642029e-05,5.02590022822537e-05,0.0006830432941016367,-0.00017882145077567424
6.704951846774987e-05,9.142191064127527e-05,6.208143816855179e-05,0.0006441017335904693,-0.0005653055179505651
8.620265482359297e-05,0.00011548607398694369,7.557590476528715e-05,0.0005528893336336266,-0.0010543274891610616
0.00010957971409616312,0.00014412224762064838,9.065798984731702e-05,0.00038166094781236714,-0.0013047480770263051
0.00013779063352909086,0.00017773908631482676,0.00010712707516718692,0.00010447535178900085,-0.0010082322630679229
0.00017146697404452828,0.0002166765816553856,0.00012465170080911575,-0.0002956484419901237,-0.0001241887440485177
0.00021125498571081708,0.00026118742641998414,0.0001427616861548158,-0.0008202225116969204,0.0010541443026655817
0.00025780978408890205,0.0003114218326467418,0.0001608487591781506,-0.0014505755174655502,0.002050000671735043
0.0003117904675626835,0.0003674157057296455,0.0001781755959329436,-0.0021462980807657865,0.0024547463331961727
0.00037385449416665564,0.00042907946430498017,0.00019389026833262224,-0.00284832327176953,0.002108021463980483
0.0004446488813880349,0.0004961835587589914,0.00020704169343801123,-0.0034871905531202673,0.0011181311982425167
0.0005247969063266849,0.0005683387622297348,0.00021659370373535016,-0.0039949319795346515,-0.00022960301187826982
0.0006148815117265643,0.0006449737255483208,0.00022143986757031724,-0.0043169127059989295,-0.001570559994914882
0.000715428628157933,0.0007253157006488543,0.00022042459975917778,-0.004419585929621532,-0.002519067781289598
0.0008268932673956188,0.0008083795907800355,0.0002123751271362552,-0.004292193756869009,-0.0027361766907007907
0.0009496485404330765,0.0008929656866831853,0.00019614366272897862,-0.003943735556900283,-0.0020643538852720194
0.0010839748217664636,0.0009776613337564698,0.00017065364261822116,-0.0033986351555577005,-0.0006837707168854583
0.0012300456774951808,0.001060840775134392,0.00013494273469930317,-0.002693846208744087,0.000860458195895089
0.0013879096690341231,0.0011406617834992501,8.819982925044988e-05,-0.0018772753147815147,0.0018790269255938945
0.0015574709082218183,0.0012150641647236577,2.9799915986985836e-05,-0.0010048729088698253,0.001937939911491969
0.0017384732750792575,0.0012817785594115062,-4.065585458235133e-05,-0.00013384635020353988,0.001171441699800341
0.0019304918573721389,0.0013383513660969939,-0.00012329048188455393,0.0006876993750656555,0.0002363151454698603
0.0021329315229616187,0.0013821850567438108,-0.00021789433971534526,0.0014310397726461613,-0.0001258212249586534
0.002345029495987439,0.001410587753713022,-0.0003238695893485769,0.0020922838333513882,0.0003660625324347473
0.002565858625414909,0.0014208255746591288,-0.00044018442792759515,0.002690385457734379,0.0012919016794162679
0.0027943304741289317,0.0014101754516110127,-0.0005653412992352436,0.00325885021714916,0.001809161624692721
0.0030292000758043256,0.0013759807727756913,-0.0006973580889513092,0.0038349145001058123,0.001271759997309128
0.003269074908598821,0.0013157132988951797,-0.000833759819044753,0.004449899039222109,-0.0002663839168653601
0.0035124290086718172,0.0012270418822594787,-0.0009715809867329513,0.005122341080224719,-0.0020462517009474336
0.0037576208935752972,0.0011079045654165866,-0.0011073823505031192,0.00585349023433814,-0.0031054642678591997
0.004002913035380035,0.0009565790482616934,-0.001237287109677301,0.006624340244016239,-0.002914706503864079
0.004246491418926152,0.0007717479585229069,-0.0013570393370161647,0.007394300699061568,-0.0016906509000684077
0.004486484948024635,0.0005525575744228234,-0.0014620845554877083,0.008102411061796433,-0.00019160411412694965
0.004720984647852757,0.00029866908076350726,-0.0015476711632225664,0.008671617211225476,0.0008097303834707864
0.004948061690998436,1.030000367546518e-05,-0.0016089721319084108,0.009015487357424851,0.0009792376862007308
0.005165782643147416,-0.00031174741539891787,-0.0016412265772587054,0.009046156291071264,0.0005189047563197042
0.005372221303327261,-0.0006660722354896272,-0.0016398981690606133,0.008682944646922796,-7.294182085892282e-05
0.005565468796563062,-0.0010506724444630218,-0.001600842611343565,0.007862200238886964,-0.0003392334996734701
0.005743645285209296,-0.001462948411561695,-0.001520473052311242,0.00654889826997077,-7.072043856815948e-05
0.005904916068799594,-0.001899707424232889,-0.001395913367727696,0.004748778737893332,0.0006727360478293386
0.006047512119123726,-0.0023571692879670084,-0.0012251343581863839,0.002517478951925055,0.0016341774642640373
0.0061697523742331286,-0.002830977607471415,-0.0010070730544111928,-3.7623036619354564e-05,0.0024357202759731932
0.006270064627582895,-0.0033162220593903093,-0.0007417364662245483,-0.002765155726949995,0.002667276842826304
0.006347003887218123,-0.003807473271394213,-0.0004302877655901715,-0.005485737721000585,0.0020406840613076756
0.006399269676434414,-0.004298827312408477,-7.510867852962631e-05,-0.008012005897584211,0.0005830892175156384
0.006425724463090975,-0.004783955501650608,0.00032016882345467095,-0.010168296580953046,-0.0012711616274068227
0.006425413594718721,-0.005256158320151274,0.0007506645040241039,-0.011807613540402051,-0.002828072297740146
0.006397584540383236,-0.005708426549020983,0.0012102831870307816,-0.01282558598246325,-0.0034925118724117893
0.0063417024049399464,-0.006133514018643856,0.0016917749832219596,-0.013171354919305997,-0.0031109564616733916
0.006257460437084596,-0.006524023120438704,0.0021868205257518742,-0.012853911728677687,-0.0020380062470083784
0.006144786912312146,-0.0068724994973097765,0.0026861434302259167,-0.011941373182141335,-0.0008623926329259969
0.006003850642990553,-0.0071715307597438,0.0031796530193690434,-0.010551854135957191,-3.526749897452233e-06
0.005835065327986013,-0.007413847546971465,0.0036566159792369127,-0.008837720739221287,0.0005004910177451781
0.005639089671388679,-0.007592430795352328,0.004105849183443736,-0.006967717922441678,0.0008602774883440776
0.0054168187835124245,-0.007700631288548473,0.004515923080884127,-0.005111387499560981,0.0012121132204167637
0.005169364598523479,-0.007732303462642109,0.004875368873222929,-0.0034271805775378116,0.001428916175464478
0.004898027613343652,-0.007681947385391223,0.005172890684664995,-0.00205215101292004,0.0012594629735244952
0.004604265759974836,-0.007544846811309136,0.005397589737514678,-0.0010901238862693397,0.0006680334789557849
0.0042896659682787296,-0.007317191879481022,0.00553920632096286,-0.0005977660564790543,2.7879545333988316e-05
0.0039559202522356325,-0.0069961817475947844,0.0055883777576702836,-0.0005720587645214006,-7.730029145607952e-05
0.003604804000265238,-0.0065801098716495665,0.005536902312580353,-0.000944891988725261,0.0006621241803413164
0.0032381528155287246,-0.006068437103318768,0.005377996019454647,-0.0015888564617095166,0.001912773346933267
0.0028578365486829718,-0.005461853946976088,0.005106533170754791,-0.002333806103419287,0.0028067997016747656
0.0024657329459928795,-0.00476232700749035,0.004719267756749193,-0.0029895549239921885,0.002518961581618365
0.002063705405935283,-0.00397312143403344,0.004215036625155243,-0.0033689029793362163,0.0009004545118721924
0.0016535880841875483,-0.0030987937649066383,0.003594942694234974,-0.003307314572525076,-0.0013314295059137764
0.0012371781188882536,-0.0021451559837608763,0.0028625103206009104,-0.002678822898066399,-0.0030298771745150806
0.0008162317581519557,-0.0011192170705098571,0.0020237998941609776,-0.001409457781915079,-0.0033817286567229743
0.0003924606725874536,-2.910938046938461e-05,0.001087468601455319,0.0005113270467224366,-0.0024386958690324687
-3.247338553287615e-05,0.0011159959402850248,6.476882598872609e-05,0.0030229259602443533,-0.0010303172969188957
-0.00045696497875944824,0.0023059843847873258,-0.0010305185451275252,0.005992629393896848,-0.0001383934648488529
-0.0008794707040902224,0.0035299060557030266,-0.002182215020095143,0.009223800118495135,-0.00020644789207090292
-0.0012985131662368247,0.004776096572458778,-0.0033719382419987324,0.012473122380677035,-0.0008821253524292228
-0.0017126836538836022,0.006032308567138877,-0.004579358194884251,0.01547433293058094,-0.0013462139906318766
-0.0021206449999517404,0.0072858495803959315,-0.005782515551268406,0.017964549668591956,-0.0009493116841913649
-0.0025211359976294928,0.008523722355506077,-0.006958199796870287,0.01970955450151055,0.0003189717232776966
-0.0029129778056262447,0.009732765177723611,-0.00808238126980479,0.020525489579917604,0.0018420762493088984
-0.0032950817545158912,0.010899791699584558,-0.009130687732046066,0.02029551885808753,0.0028174337313708895
-0.003666457367038015,0.012011730738586386,-0.010078913563720064,0.018980661429154284,0.0027854440047302615
-0.0040262192668109155,0.013055766760543321,-0.010903548288760416,0.01662430680951808,0.001886105222708018
-0.004373591777629399,0.014019481508809665,-0.011582310603549566,0.01335014512862798,0.00070864348025442
-0.004707910279196767,0.014890996740056705,-0.01209467416422245,0.009353543469415769,-0.00011800269487346343
-0.005028618762958294,0.015659117332220435,-0.012422372032428805,0.004886791655764331,-0.0003022333083388087
-0.005335263468093218,0.016313473250212873,-0.012549867746202245,0.0002391245687610531,-7.253907722581775e-06
-0.005627482826166474,0.01684465825414491,-0.012464782170230773,-0.004286991260359306,0.0003229822598113082
-0.005904994100566482,0.017244362995639844,-0.01215826636867146,-0.008401225012720363,0.0002798191234488603
-0.0061675771613023895,0.017505500120655878,-0.011625311855078984,-0.011849929609659665,-0.00026225241685555396
-0.0064150559993075935,0.017622318820047785,-0.010864991044915404,-0.014437420552618645,-0.001102006113977894
-0.006647278943700882,0.017590505801493714,-0.009880622670841303,-0.016041979326061797,-0.001866203410991371
-0.006864098904596596,0.017407269243993828,-0.008679858922583508,-0.01662520342508678,-0.002240237773134209
-0.007065354997073331,0.0170714024980776,-0.007274692531191555,-0.016233878483644444,-0.0021256055863706014
-0.007250856497897723,0.016583325285908043,-0.005681382729393204,-0.014994004111301168,-0.0016424312705954726
-0.0074203695285166215,0.015945101426545018,-0.003920299497055517,-0.013097194276338769,-0.0010049635843042545
-0.007573606609425804,0.015160432851185634,-0.002015686565990355,-0.010780594459722336,-0.00037613987433614607
-0.0077102195032778854,0.014234629521065651,4.654341903817175e-06,-0.008302568689876307,0.00019539891865034834
-0.007829796283584605,0.013174554299231825,0.002109753168817393,-0.00591722687451977,0.0007281727531533298
-0.007931863793367635,0.011988541788479221,0.004265928391986682,-0.0038509223217192213,0.0012116542057945816
-0.008015896264544381,0.010686291182469524,0.0064373038297595424,-0.0022831035572700316,0.0015556517180057273
-0.008081330014141956,0.009278734979796506,0.008586378383845962,-0.0013327792031296586,0.001634719816716551
-0.00812758328741938,0.007777887142343582,0.0106746420191384,-0.0010509037475331803,0.001392535985772932
-0.00815407982111322,0.006196675334662335,0.012663230967084934,-0.0014184793311097536,0.0009178157289867643
-0.0081602745160121,0.004548762315491384,0.014513614263177325,-0.002349963799786657,0.0004238179329043575
-0.008145679503306082,0.002848361765560548,0.016188302719440197,-0.0037014218132797334,0.0001381972176378993
-0.008109888809665712,0.0011100539203112276,0.017651570415990296,-0.005282689811279529,0.00017618296957243852
-0.008052600021246296,-0.0006513940882297416,0.01887017738884024,-0.006872790115397248,0.0004772527702166083
-0.00797363206065989,-0.00242119968374826,0.019814080055740313,-0.008237983102723941,0.0008361802750074467
-0.007872939234995826,-0.004184726585417547,0.020457113506311086,-0.009151930517740388,0.0010002446878797447
-0.007750622429848095,-0.0059276367422177794,0.020777628346702492,-0.009417043907485219,0.000779470505805356
-0.007606938097389202,-0.007636032147095446,0.020759065456602253,-0.00888511479431086,0.00012975418439233567
-0.007442304575721476,-0.009296584492856285,0.020390454638991817,-0.007474298788610344,-0.0008101667743859215
