Delta,Theta,Alpha,Beta,Gamma
5.9703653293477706e-09,1.010387568834428e-08,1.0103875688344277e-08,3.343908961924815e-06,6.038721974642974e-05
5.570843286837826e-08,9.392337194430083e-08,9.35222116196702e-08,2.891146208117369e-05,0.00042494818013358825
2.636901709313003e-07,4.4241952111509714e-07,4.379134360582079e-07,0.00012426571446393287,0.0013660544416258073
8.615142021251962e-07,1.436705449182553e-06,1.4108004226111122e-06,0.00036072522861968725,0.0026141508163054624
2.218665916596552e-06,3.6729863614225684e-06,3.570130870673048e-06,0.0008069545766286577,0.003087130482709855
4.84621612241637e-06,7.95422952933283e-06,7.634255009585876e-06,0.0014951407524511676,0.0015535375947866225
9.38783231223199e-06,1.5256676159444457e-05,1.442067271285266e-05,0.002393375561659102,-0.002230558170354732
1.6600971354409088e-05,2.66770688667112e-05,2.4761815015972326e-05,0.003392903187808758,-0.006929171102024449
2.733201696200456e-05,4.336822126638361e-05,3.9408687566746884e-05,0.0043148326738472005,-0.01015089874600132
4.2488817382430916e-05,6.647010293411565e-05,5.8933135379311704e-05,0.00493577585331767,-0.009799911801546634
6.301290480188195e-05,9.704157094624525e-05,8.36374263563248e-05,0.005027100616473892,-0.005365697977144761
8.985237119500474e-05,0.00013599555593271,0.00011347719709199393,0.004399412351715006,0.0016789867119655476
0.0001239356764243286,0.00018403920886804324,0.0001480019727674461,0.0029432005881952442,0.008600890023926458
0.00016614695164317734,0.00024162088290271855,0.0001863171848392905,0.0006581782527315644,0.012783656336155708
0.00021730444018552776,0.000308887499083155,0.00022707251049597872,-0.0023331684873144527,0.012950682047674841
0.0002781448529921394,0.0003856575268807288,0.0002684821070344769,-0.005789119810904029,0.009594554570158564
0.0003493166500105423,0.0004714148498848669,0.00030838122755101366,-0.009368294698699117,0.004485411670213829
0.00043138397445416317,0.0005653261629472629,0.000344319798483246,-0.01266301437417022,-0.0003599571374816558
0.0005248404077382579,0.000666279765015542,0.00037368746736752206,-0.015243718193493985,-0.0036397397434962896
0.0006301290604497223,0.0007729387937927164,0.0003938587414227409,-0.016710936693373153,-0.005180728746336042
0.0007476642629348241,0.0008837997106814453,0.0004023439672864895,-0.016749673491319016,-0.005682786162798241
0.000877851026059625,0.0009972484664073538,0.0003969334228600169,-0.015178875785396423,-0.006039282696788793
0.0010211008168244339,0.001111610992324849,0.0003758263590887941,-0.011987380497229354,-0.00667105883009541
0.001177844216562427,0.0012251982695107573,0.00033774105092977116,-0.007348834294874015,-0.00725774726330581
0.0013485410750831458,0.0013363464171722822,0.0002820028138561463,-0.0016119916783875847,-0.006998395871142581
0.0015336867763228153,0.0014434489550510957,0.0002086044264649455,0.004731867283877613,-0.00521892275237235
0.0017338109182028643,0.0015449746756267693,0.00011823062271689348,0.011098314699853028,-0.001934046077751253
0.0019494643232964835,0.001639464281901225,1.2239265979712773e-05,0.016868348144638803,0.002009920272505857
0.00218119271256304,0.0017255035350787068,-0.00010740211195698624,0.021449756051610508,0.00533071946881171
0.00242949920180529,0.0018016775960459264,-0.00023821728104937324,0.024336832725269025,0.0070132867389857325
0.002694800350811244,0.0018665158521027846,-0.00037734685516422863,0.025164587329909085,0.006868045852294582
0.0029773800505302796,0.001918435776133758,-0.0005216855170522525,0.023752340055070955,0.005567684213644342
0.0032773427940444937,0.0019556895927288474,-0.0006680225948745577,0.020130197393755656,0.004133997100682477
0.003594565545919746,0.0019763134574395814,-0.0008131817948378824,0.014542748715734046,0.003236225887701919
0.003928647916231519,0.001978079642933365,-0.0009541552837526898,0.007428329701930228,0.002804774554045598
0.004278863626488775,0.0019584577177650373,-0.0010882221323464736,-0.0006223105991840137,0.002233325853680833
0.004644119715859365,0.001914596304481933,-0.0012130361756523622,-0.008920234477094694,0.0009947011053177469
0.0050229305262403535,0.0018433374438629408,-0.001326669083913671,-0.016737566994453244,-0.0008279786823488641
0.005413410357223903,0.0017412694817672066,-0.0014276022218250926,-0.023366776180094334,-0.002529734622544746
0.005813283949569194,0.0016048155988522656,-0.0015146715331497277,-0.028177983441002207,-0.0033114310485558946
0.006219911057633147,0.0014303496141763387,-0.0015869768185728995,-0.030672771153841833,-0.0029242590697848266
0.006630322110427624,0.0012143316072344126,-0.0016437670220966485,-0.03053072087305884,-0.0019007959322358786
0.007041264998290347,0.0009534608259866331,-0.0016843089165012712,-0.027642445910567377,-0.0011681098290982036
0.007449265049593629,0.0006448465209369623,-0.0017077438316063446,-0.02212310787250259,-0.0013404614225490518
0.007850698875787763,0.00028619466635765046,-0.0017129400235950188,-0.014304136217053365,-0.002256639405762274
0.008241878551253275,-0.00012399886133018337,-0.0016983556903017968,-0.004706007803846795,-0.003134178633650207
0.008619138643531175,-0.000586264743923291,-0.0016619337727790753,0.00600180021005326,-0.00321261061303662
0.008978917892218566,-0.001100003216141462,-0.0016010491748340116,0.01704796556527234,-0.0023608475046243056
0.009317830259351942,-0.0016633648168114044,-0.0015125213047658393,0.027610771593089223,-0.0011575248842460775
0.009632724274186148,-0.0022731721902094814,-0.0013926944261179158,0.03687348917747478,-0.0003886661039427495
0.009920732037470886,-0.0029248813656122144,-0.0012375809183234516,0.044083065705698796,-0.0003831157840985745
0.010179308743751453,-0.0036125811930859844,-0.0010430605166106565,0.04860879307971802,-0.000731935135284041
0.01040626153595625,-0.004329032497980339,-0.0008051294937631711,0.049994843186444766,-0.0006172979781553387
0.010599765436879694,-0.005065749682138869,-0.0005201931480198377,0.04800003452192336,0.0005186133910412196
0.010758365334646176,-0.005813124702345723,-0.00018539062867567975,0.04262033887632686,0.002497855587857648
0.010880965644121582,-0.0065605882153130434,0.0002010651641771367,0.034092837368185455,0.004487428396633603
0.01096681121640988,-0.00729679889001872,0.0006395542001312361,0.022882057523745,0.005553826401920159
0.011015462967055986,-0.008009851792891076,0.0011287439279681968,0.00965016626573007,0.005256263236589573
0.011026770051366529,-0.008687499420979357,0.0016653297115052773,-0.0047876507517892125,0.0038532626856114544
0.011000838979011062,-0.009317381337828263,0.0022438349997243295,-0.019520630067446774,0.0020290795180706736
0.010938000157803416,-0.009887258166585934,0.0028564833552964437,-0.033608747917106496,0.0004090468199039539
0.010838773776076215,-0.010385243318736033,0.003493154482643038,-0.046151725779935454,-0.0007576940244724789
0.010703838253671712,-0.010800023768340555,0.0041414357130516045,-0.05635354912324487,-0.0015641384092454302
0.010534004412674325,-0.011121061654890302,0.004786776793073533,-0.06357636003675744,-0.0021784953452299713
0.010330196919957374,-0.011338771666145329,0.0054127492502244,-0.06738003940580944,-0.002618862701563933
0.01009344243112628,-0.011444673226029198,0.006001404098879539,-0.06754629276813268,-0.0027530621552629307
0.009824862395246497,-0.011431519412704608,0.006533715541324009,-0.0640875484640351,-0.002481857082215626
0.009525668150535118,-0.011293405399240262,0.006990094675972415,-0.05724138084114534,-0.0019078480140658665
0.009197156443907355,-0.011025858587346142,0.007350955607351782,-0.04745112765882167,-0.0013232609964856801
0.008840704246597738,-0.010625911540367917,0.007597315741058974,-0.03533356408062655,-0.001017640892471095
0.008457762330689927,-0.010092157993871703,0.007711411756809979,-0.021635185751677166,-0.0010594605639154637
0.008049847419312209,-0.009424791810497183,0.007677312593072383,-0.007179700253438795,-0.0012253467044108048
0.007618532818284637,-0.00862562876702442,0.007481510722416068,0.007189553702206564,-0.0011366682898632618
0.00716543728984636,-0.007698111491893318,0.007113473066332268,0.02066764135987332,-0.0005130285783107111
0.006692211715358329,-0.006647298400422061,0.006566133399188203,0.03254155427996871,0.0006262683551620481
0.006200523208217906,-0.00547983742491731,0.005836309687640166,0.04223474592508393,0.001944294390291359
0.005692037089686224,-0.004203924196754902,0.00492503296503001,0.04933953353515762,0.002964655611695384
0.00516839829965726,-0.0028292425359350013,0.0038377785164423603,0.05363587970784489,0.0033352992852994693
0.004631214563571228,-0.001366884070600437,0.002584593780957455,0.05509630417807365,0.003013474177328442
0.00408204318247132,0.00017075510549155028,0.001180119003416225,0.05387710000696149,0.0022550504311897304
0.0035223817113763313,0.0017700997740895037,-0.0003565035885778062,0.050296066455181004,0.0014169859883388543
0.0029536611437074476,0.0034165388964611664,-0.0020018364426594927,0.04479759181548886,0.0007104386471000738
0.002377239873568304,0.005094582091215971,-0.0037284711711622867,0.03790771523988004,8.462287169794223e-05
0.0017943980542375081,0.006788026697904352,-0.005505467426572832,0.030184222200712516,-0.0006657050231731223
0.0012063339602090715,0.008480136125196987,-0.007298896244638417,0.0221684069855471,-0.0016455388433654647
0.0006141648992227216,0.010153831610689284,-0.00907247359400993,0.014344606417463686,-0.002662586810885105
1.8934235069486922e-05,0.011791897611766284,-0.010788269266282418,0.007111056768722707,-0.0032692247023869696
-0.0005783760868966776,0.013377197148687124,-0.012407478012376768,0.0007625336530212843,-0.0030474453387326714
-0.0011768297570094208,0.014892890538869432,-0.013891240871116742,-0.004516677115352859,-0.001938530736529324
-0.0017755192563491979,0.01632265108833791,-0.015201502886465509,-0.008651078603716824,-0.00035879808938542936
-0.0023735488087263377,0.017650873708596176,-0.01630188965935506,-0.011664422890643586,0.0010112479331348563
-0.0029700168590360626,0.018862874497207804,-0.017158582173994158,-0.013663062896014601,0.0016296899124075698
-0.0035639979924119635,0.019945079149262704,-0.017741169097062567,-0.014813858390099225,0.0014023469537075503
-0.004154525395382086,0.0208851962249248,-0.018023457706913406,-0.01531954906877676,0.0006840287924130006
-0.004740575818574754,0.02167237009957315,-0.01798422638082725,-0.015394851217803365,-6.114325725434102e-06
-0.005321058598855815,0.022297309457141333,-0.017607901504897668,-0.015245578576509666,-0.00032607333604927854
-0.005894809081890986,0.022752389646650224,-0.016885140604283914,-0.015051672033778031,-0.00026655766927840603
-0.006460586098099755,0.023031728764314415,-0.015813303831973716,-0.014954331951842975,-5.2185288637913825e-05
-0.007017073765733439,0.02313123661761062,-0.014396799049302338,-0.015047758330223234,8.014633622433491e-05
-0.007562889105841874,0.023048634042082707,-0.012647290224112697,-0.015376385622762886,3.540699688070108e-05
-0.008096597163991808,0.02278344011945749,-0.01058376188256553,-0.015937823717355394,-0.0001360504020919488
-0.008616733714207191,0.022336928061084844,-0.008232432432437993,-0.01668997846620123,-0.0003211664172368305
-0.009121833104530656,0.021712055186108897,-0.005626508064888046,-0.01755935992032539,-0.00040338851053843967
-0.009610457350229999,0.020913375115259595,-0.0028057701563824703,-0.01844785564711959,-0.0002673958149196947
-0.01008122332880976,0.019946939077086848,0.00018400542565419776,-0.019237327788785525,0.0001880399398771008
-0.010532827045024338,0.018820189588522135,0.003291790634827095,-0.019793715048501283,0.0009727432505632373
-0.01096406535309057,0.017541847323653107,0.006462195894821171,-0.019973021552665053,0.0019082524506439805
-0.011373854957869627,0.01612179293319429,0.009636492699975456,-0.019630225988333447,0.002631246094410911
-0.011761246740698138,0.014570948539839914,0.012753751059015361,-0.01863015521927584,0.0027608767128174576
-0.012125432561394972,0.012901164981966156,0.015752072682480703,-0.01685860589171204,0.0021394260544133374
-0.012465742981530836,0.011125118401930926,0.01856989538543995,-0.014232959006925842,0.0009553088249899986
-0.012781636975042917,0.009256215040610128,0.021147337058028837,-0.010712867648288169,-0.0003706884934707747
-0.0130726863996926,0.007308500024316023,0.023427542919145956,-0.006311528285747117,-0.0014572378835493883
-0.01333855741242023,0.005296566885239846,0.02535800014517413,-0.0011062653918013378,-0.0021712152825433613
-0.013578989046587556,0.0032354678936578844,0.026891787677838605,0.0047547211004813975,-0.0026080597025944226
-0.013793768181477364,0.0011406269158266897,0.02798873183210728,0.011052598247661844,-0.002888931346939229
-0.013982701479692604,-0.000972245851580065,0.0286164378534096,0.017506110901121245,-0.002986170438860832
