Delta,Theta,Alpha,Beta,Gamma
-3.2997572247181698e-09,-5.5843043031858414e-09,-5.584304303185839e-09,-1.8481428099001532e-06,-3.337537213333203e-05
-2.654677602654845e-08,-4.4730396536758067e-08,-4.450867950497722e-08,-1.3602797150317428e-05,-0.00019195176238560389
-1.0414629842603454e-07,-1.7438372297188294e-07,-1.721783316929088e-07,-4.7012354757563776e-05,-0.00043274874965849034
-2.6883581084630213e-07,-4.460495821270225e-07,-4.35068981343859e-07,-0.00010066958683366286,-0.00031899667963488726
-5.128287564975007e-07,-8.391724271116601e-07,-8.023292896312875e-07,-0.00014131364346144448,0.0007097060913697839
-7.45647317814353e-07,-1.1913499654234913e-06,-1.0972997341966753e-06,-9.959287613042237e-05,0.0025942482545737735
-7.550571420384277e-07,-1.1375749447535153e-06,-9.437728940209122e-07,0.00011737550584345452,0.0042982653767046795
-1.7375041573683984e-07,-6.394891240981059e-08,2.6554780389879435e-07,0.0006011728777759496,0.004331326175113945
1.5425526422800526e-06,2.913928100141676e-06,3.367052512204572e-06,0.0014099132108254609,0.0017721492051446413
5.119607523067122e-06,8.937786961394216e-06,9.3807448921722e-06,0.0025353014913344534,-0.0029815226156197335
1.1448787452782208e-05,1.9354521656313176e-05,1.9418867563439297e-05,0.0038775785949639835,-0.008249103554547997
2.1552302350470886e-05,3.5629034307024785e-05,3.4556160029578645e-05,0.005237366081860947,-0.011835739147438261
3.653410600579951e-05,5.923202778488638e-05,5.567659257375522e-05,0.006330434737849378,-0.012056424887374226
5.7521826709254825e-05,9.151417806846236e-05,8.33137219551255e-05,0.006825665804730504,-0.00847516078031319
8.560413669255432e-05,0.00013357660020408334,0.00011750044883919446,0.006400309152428356,-0.0020475974571435153
0.0001217670712935135,0.00018614587806698457,0.00015764188858134756,0.004802459957526684,0.005321093116936184
0.00016683282109790013,0.00024946172036535686,0.00020242395272526435,0.0019094214103646638,0.01154268142460998
0.00022140503069253362,0.00032318580686080086,0.0002497694011951889,-0.0022282883286541613,0.01508131876029334
0.0002858246823920016,0.00040633994832218974,0.00029685094598776764,-0.007365163405868246,0.015367402340708014
0.0003601398289875068,0.0004972796590148588,0.0003401669050108577,-0.013065995731111165,0.012779570323487751
0.00044409125065764343,0.0005937065141196458,0.0003756799533507491,-0.018739335963417515,0.008293844388726062
0.0005371152354563919,0.0006927204606494815,0.00039901510258395805,-0.023696047656928038,0.0030324084399400374
0.0006383641954861648,0.0007909117260006143,0.00040570946686038686,-0.02722592987503851,-0.0020652784284530532
0.0007467451325975843,0.0008844901224488246,0.0003915027636114864,-0.02868274064832787,-0.006357673336769849
0.0008609745080718475,0.000969446483253895,0.00035265306977101945,-0.027567182332437483,-0.00946211993599149
0.0009796460580177855,0.0010417371110922162,0.00028625768748400185,-0.023598202037228844,-0.011185664000797558
0.001101306427075043,0.0010974790707982557,0.00019055582734556743,-0.016764503264592976,-0.011501756728927299
0.0012245329649621457,0.0011331433048747527,6.51896856917518e-05,-0.0073499228500510955,-0.01055575087587199
0.001348008625255563,0.0011457338371901038,-8.859668952846115e-05,0.0040715580756870064,-0.008637506129486107
0.001470589852178539,0.0011329433903344952,-0.0002678370683259477,0.016672472051533833,-0.006097081558007395
0.0015913638771748138,0.0010932772332758677,-0.0004678133308846142,0.029437713477762938,-0.003248866107266223
0.0017096919250839302,0.0010261378994308671,-0.0006821245300583742,0.04125319106160794,-0.000332580091715122
0.0018252350939887264,0.0009318646582512202,-0.0009028582760700178,0.05100796625626013,0.002449952997984914
0.0019379607685145587,0.000811724350272476,-0.0011208618328520518,0.05769930652867989,0.0048760200019862185
0.002048129331729386,0.0006678542974739077,-0.001326102906131456,0.0605303864232919,0.006697034724115606
0.0021562629463025055,0.0005031621820824426,-0.001508102998972344,0.05899155182067705,0.007710614957683123
0.002263099486517834,0.00032119062838971695,-0.0016564210710464777,0.052917554267368716,0.007854943830781594
0.0023695350696192933,0.00012595527601882834,-0.0017611626735361153,0.04251492854870278,0.007241487019793322
