Delta,Theta,Alpha,Beta,Gamma
3.1657485731428663e-09,5.3575163795015425e-09,5.35751637950154e-09,1.7730866439440457e-06,3.2019942533266895e-05
2.754924570983881e-08,4.643486249423333e-08,4.6222149761386256e-08,1.421566461991453e-05,0.0002052002788439074
1.1958456816750626e-07,2.0046290878149356e-07,1.9820728404989833e-07,5.532073056968714e-05,0.0005658340921137113
3.5178747352076845e-07,5.854427876969694e-07,5.733207399323968e-07,0.0001408959857368696,0.0007961930501610452
7.995015017041909e-07,1.3179341295073324e-06,1.2733943789546204e-06,0.00026451047464529326,0.0002574460392467379
1.505278160247594e-06,2.4506432500601112e-06,2.3237819579479207e-06,0.00038260225302738676,-0.001411185961693882
2.438849608899783e-06,3.904766580162342e-06,3.604864963375684e-06,0.0004133324896789998,-0.003685368885595819
3.4582380508483166e-06,5.4078012868877235e-06,4.794694733758439e-06,0.000250897348170734,-0.0051966360897864414
4.276697365305054e-06,6.445815072823515e-06,5.333904114745789e-06,-0.00020771076879264546,-0.00451293581180743
4.43839696928986e-06,6.235729304068473e-06,4.4197006118788534e-06,-0.001030316144926373,-0.00113949295068867
3.3042192786732645e-06,3.720110743080749e-06,1.03157841823088e-06,-0.0022199135106016547,0.003972710648981478
4.829988229502561e-08,-2.4147324287333703e-06,-6.01149846623249e-06,-0.0036952163202214837,0.008790160866676826
-6.334239749891912e-06,-1.369728204586195e-05,-1.79645672665688e-05,-0.0052862793059143,0.01122343951939606
-1.700806368295761e-05,-3.180655764651009e-05,-3.604462591016988e-05,-0.006746897916402596,0.010188800053950708
-3.3266995473977084e-05,-5.848673475565464e-05,-6.129887980579957e-05,-0.0077824562275250996,0.006089936196383566
-5.649269149862381e-05,-9.5443638833121e-05,-9.446110642420055e-05,-0.008089379265487237,0.0005016928664667025
-8.810398114367471e-05,-0.0001442275179448135,-0.0001358057608699668,-0.0074005736961449756,-0.004678802831698786
-0.00012949901894446827,-0.00020610797671648294,-0.00018501097409724838,-0.0055304301423476565,-0.008088887081765738
-0.0001819933369186755,-0.0002819485878276875,-0.00024104288159221897,-0.0024131751530580606,-0.009327019190407347
-0.0002467577612564966,-0.0003720900602059437,-0.0003020742956852041,0.0018706620760318793,-0.008829051830370362
-0.00032476040351708113,-0.00047625096371892135,-0.00036544960942203286,0.0070836307516335874,-0.007389831157869946
-0.000416716097720743,-0.0005934531381247717,-0.0004277042891536497,0.01283924526430415,-0.005662011473255564
-0.0005230449445925582,-0.0007219754784314154,-0.00048464194148493224,0.018629473216822977,-0.0038923415131531555
-0.0006438399997304002,-0.0008593364982741694,-0.0005314666386079967,0.023870613108303466,-0.001971897576138084
-0.0007788436599099228,-0.0010023047720977868,-0.0005629649913519141,0.02796319860128248,0.0002962360009441178
-0.0009274332167755884,-0.0011469374672735014,-0.0005737318970688452,0.030358340158966744,0.002897056542976219
-0.0010886174715512048,-0.0012886491320863696,-0.0005584343920093866,0.030621009386008136,0.005449500433496584
-0.0012610468278312931,-0.0014223132647614095,-0.0005121071247237942,0.028481283460578818,0.007293739059551171
-0.0014430381167918308,-0.0015423966404300392,-0.00043046934616373055,0.023867401608399737,0.007789841271512555
-0.0016326131065921407,-0.0016431219344668969,-0.0003102481305009848,0.01691828709071747,0.0066748768914237575
-0.001827547700328284,-0.0017186504929530783,-0.00014948863082452107,0.007976246200796212,0.004269110810096978
-0.0020254284824753953,-0.001763276328952237,5.2168158588159456e-05,-0.0024380029317223996,0.001383419327646027
-0.002223714520372261,-0.0017716245095339344,0.0002932564728469429,-0.013665520563143409,-0.0010514741907059683
-0.002419803920891834,-0.0017388498487520196,0.0005703176350512838,-0.024961713075766334,-0.0024316020640940896
-0.002611105141008559,-0.0016608327315829313,0.0008778017523841475,-0.03555712791431373,-0.002732370674087963
-0.0027951119638705323,-0.0015343671453072443,0.0012080477913104725,-0.044720435575288375,-0.002409709512027957
-0.002969479143503346,-0.0013573329577026636,0.0015513510942831877,-0.05181631107600864,-0.002022360107326054
-0.0031320942720998502,-0.0011288424011257627,0.0018961266618750976,-0.05635140114289892,-0.0018366729986291235
-0.00328114115649826,-0.0008493508441919898,0.002229173287099489,-0.058003816527591553,-0.0016824243098773094
-0.003415150607034763,-0.0005207237162843971,0.0025360385388511677,-0.056634659750813214,-0.0011444003041484216
-0.003533035219840129,-0.00014625344312234803,0.002801479274036908,-0.05228280911062765,6.500599067715544e-05
-0.0036341050492941585,0.00026937830088505046,0.003010007746708811,-0.04514598319575779,0.0018250627236856796
-0.003718061461403398,0.0007201960846462028,0.0031465088944975894,-0.03555225071292698,0.003606379091176778
-0.0037849678104691403,0.0011990837405554734,0.0031969087029230076,-0.023927074693025227,0.004728575135285485
-0.003835198286235637,0.0016979891886775213,0.0031488662832086837,-0.010761624701492056,0.004682836294493312
-0.00386936967463123,0.00220816885663939,0.002992454961402115,0.0034122401118360317,0.003317796231174271
-0.0038882634519949123,0.002720454544000976,0.002720793046614103,0.018036929991510804,0.0008250245925915023
-0.0038927463972334674,0.0032255242577343053,0.002330585263795154,0.032534240002627224,-0.0023849263712769435
-0.003883696628779057,0.0037141610230658683,0.0018225412533835258,0.0463048309499301,-0.005780960793233436
-0.003861939654409129,0.00417748814416408,0.001201646033880333,0.05872894382670548,-0.008736034260711548
-0.003828197058633593,0.004607173369666808,0.0004772660920783098,0.06917529754052766,-0.010550779940319983
-0.0037830496776561097,0.004995596432372422,-0.00033691797979597,0.07702262112211555,-0.01058313217327714
-0.00372691729974217,0.00533597485974745,-0.001223155499597673,0.08169439556621512,-0.00849864343296889
-0.003660057050916627,0.005622443553527467,-0.0021600434689860717,0.08270378397771201,-0.004514869122552791
-0.0035825816153418873,0.005850086207837315,-0.003123107287870196,0.07970358877650378,0.0005490298995901393
-0.003494495932065729,0.006014921716554415,-0.004085523548850175,0.07253555513299355,0.0055187019653193375
-0.0033957476280894088,0.006113855126506835,-0.005018953404973137,0.0612737188623916,0.009319107992217752
-0.0032862835111636276,0.006144608055142576,-0.005894446478864888,0.046256797220712645,0.011392790039879688
-0.0031661032870993347,0.006105645477268737,-0.006683371481791178,0.02810432993539936,0.011834309453482475
-0.0030353029113852157,0.005996113360772857,-0.007358331764479007,0.0077107459165107126,0.011159301659453336
-0.0028941031650959047,0.005815795711189085,-0.007894030886387252,-0.013788179348672599,0.009858912244692777
-0.002742862783690375,0.00556509267023976,-0.008268062168692358,-0.03507977283432076,0.008035190741941967
-0.0025820782024527627,0.005245016193129455,-0.008461603944677418,-0.054768550291893425,0.005368853388547763
-0.0024123728580116516,0.004857198016466836,-0.008460007037028037,-0.07149263565303074,0.0014573351442425753
-0.0022344783535006695,0.004403905504292929,-0.008253263336054171,-0.0840496012831754,-0.003689991067134386
-0.002049208936573209,0.003888062292183693,-0.007836346407204193,-0.09151567596395792,-0.009338172472941367
-0.0018574309167315461,0.003313270267981829,-0.007209418956712794,-0.09334268316539045,-0.014143057389917835
-0.0016600301194662453,0.002683826928879298,-0.006377908029553773,-0.08942059254737733,-0.016684696381375815
-0.0014578822168910214,0.0020047293489911908,-0.005352455007112115,-0.08009855438410912,-0.016132234835799248
-0.0012518311937809489,0.0012816556331975769,-0.004148750871071476,-0.06616201265675171,-0.012649882382633771
-0.0010426793654984396,0.0005209183759308591,-0.0027872661755424352,-0.048767215527144726,-0.007296226773182657
-0.0008311888047040929,-0.00027060876770787685,-0.001292880874180457,-0.029337663145072915,-0.0014788400770654238
-0.0006180905430005487,-0.0010855839494890458,0.0003055850051627227,-0.009430744534812198,0.0036958102706687677
-0.0004040963328345138,-0.0019162991182471274,0.0019759394283929295,0.009412678111324834,0.007779044860468694
-0.0001899087085516647,-0.0027547824741644775,0.0036832806646638523,0.02581872248448033,0.010853170983054434
2.377242852157758e-05,-0.003592897106115923,0.005390742512051534,0.03871191680611049,0.013068033073461117
0.0002362463291502415,-0.004422435332826101,0.007060305096357947,0.047410335834056315,0.014220502587608564
0.0004468102264816514,-0.005235209085362416,0.00865365130767972,0.051672883035410455,0.013718285797809284
0.0006547609406433367,-0.006023134616786349,0.010133049730341176,0.051695132814954484,0.010982393324969508
0.0008594012937948918,-0.006778307292589861,0.011462246654093849,0.04805785207817431,0.0060085138451415575
0.0010600536509828677,-0.007493061984826436,0.01260734956440398,0.04163776427269187,-0.00033284102009674806
0.0012560812191752238,-0.00816001776154477,0.013537681303453591,0.033492782432295094,-0.006517636073902249
0.0014469148422769505,-0.008772110746654169,0.014226579386404897,0.024734680039406817,-0.011018318245631722
0.0016320805606444423,-0.009322623324997188,0.014652111841937498,0.01640226640791825,-0.012990764122163894
0.0018112225658832048,-0.009805218839734077,0.014797681998845154,0.009348203569553246,-0.012572412833389925
0.0019841176406734185,-0.010213988164470942,0.01465250024459318,0.004152168411859132,-0.010621893946969246
0.002150679744581563,-0.010543509811921647,0.014211908958658467,0.0010710236247813646,-0.008098562685255545
0.002310955573705443,-0.010788921251931939,0.013477554598902349,3.226420804967783e-05,-0.005506408257844039
0.002465112659720791,-0.01094599765069915,0.012457406238801701,0.0006706399838865434,-0.002759169907757545
0.00261342098649165,-0.011011235118175524,0.011165622757039232,0.0024010741172376406,0.0004836829279071322
0.002756228259866309,-0.010981936894733525,0.009622273183227791,0.004515770676255884,0.004289424162229019
0.0028939290678345504,-0.010856300657546104,0.007852918438127573,0.006291056841775456,0.008136056487027836
0.003026929614116931,-0.010633502634453736,0.005888068431433849,0.007090059382517636,0.011049779810772759
0.003155611738438025,-0.010313770847366382,0.003762534655402018,0.006449650235138546,0.012111101030092912
0.0032803011213767006,-0.009898438064726312,0.001514702351974336,0.004142817900138957,0.010983380700089978
0.0034012438402169025,-0.009389966740144175,-0.0008142538863909733,0.00021002495518737677,0.008102896833353808
0.003518592921891111,-0.008791943048132831,-0.0031811912384158915,-0.0050444497447110805,0.004407697055257114
0.0036324035653413004,-0.008109042696829435,-0.005541841875554259,-0.01109180600044687,0.0008026437322212539
0.0037426339458004184,-0.007346974565950004,-0.007851666924114516,-0.017249501613382182,-0.0022667939002704186
0.0038491488133420705,-0.006512407931176701,-0.01006670952406792,-0.022773925357238267,-0.004851819374723973
0.003951724901553694,-0.00561288610367232,-0.01214443253251188,-0.026961032655298048,-0.007159505819787133
0.004050058949603953,-0.004656726408692691,-0.014044523880231342,-0.029239561312107937,-0.009122976489586938
0.00414377955918181,-0.003652905896149016,-0.015729652774634395,-0.029243552991463553,-0.010234725802917767
0.004232462934115738,-0.002610934367465834,-0.01716616320493565,-0.026855673758612277,-0.00979683480457952
0.0043156507699739985,-0.0015407194654614058,-0.018324695682042993,-0.022218354224457237,-0.007426441776196019
0.004392867543833585,-0.00045243031446594203,-0.019180731291252324,-0.015714322107162476,-0.0034532493641466584
0.004463634918814807,0.0006436347065937214,-0.019715052635817142,-0.007921005683261007,0.0010936992716080588
0.004527482543708122,0.00173717331984951,-0.01991411482654013,0.0004550302797231106,0.004933242630024867
0.004583956134788853,0.002817997999023384,-0.01977031830138563,0.008656198302113586,0.007139446944358895
0.004632624481362679,0.003876149478598794,-0.0192821755976538,0.015955949933162208,0.007530969036652843
0.004673086750412124,0.0049020062911151,-0.01845436655479091,0.021735418635773142,0.006619724237681014
0.004704980632602807,0.005886390121818502,-0.017297679935514867,0.0255455856374016,0.005191544333123283
0.004727991022121292,0.006820665378112387,-0.015828843041879634,0.02714765468728991,0.0038165766833907775
0.004741858304354518,0.007696830414673476,-0.014070244023515756,0.02652729228744141,0.0025967196991969915
0.00474638492467325,0.008507597321994003,-0.012049554158210286,0.023881999220145913,0.0012679976516506413
0.004741438750344322,0.009246457116824819,-0.009799259329577087,0.019584522435826326,-0.00046322197023176043
0.004726952000647858,0.009907727874462327,-0.007356110888810954,0.01412842695456717,-0.0025983109944807186
0.00470291532842851,0.010486584994529346,-0.004760505886355212,0.008064284311443513,-0.004740500990574254
0.0046693677298852215,0.010979074909086914,-0.0020558058192070103,0.0019358860479151648,-0.006248673116393958
0.00462638372281147,0.01138211503719821,0.0007123972930850262,-0.0037749300051980214,-0.006542323583820042
0.004574059168000433,0.0116934828036431,0.0034970576235629634,-0.008688718659735865,-0.005386545806117552
0.004512496355968421,0.01191179533750276,0.0062504829915042675,-0.012551299747356562,-0.003020294730386664
0.004441788345612831,0.012036480453773549,0.008925159204803731,-0.015239187414244676,-7.798137251297443e-05
0.004362002864085328,0.012067740138708045,0.011474577523725056,-0.016749540647805473,0.002654946224931339
0.004273167445879351,0.012006510118541746,0.013854053544353347,-0.01717743059537665,0.004544708049679246
0.004175259004200888,0.011854421597250024,0.016021528174064527,-0.016683835749777727,0.005333988543405856
0.004068201417992746,0.011613771702589246,0.017938341768472338,-0.015458862487289796,0.005178891714218879
0.00395187335179767,0.011287506538036948,0.01956996987582554,-0.013686089196099684,0.004475565182296904
0.003826125968013496,0.010879216058282352,0.020886704569950166,-0.011514639816869865,0.0035730725590557492
0.0036908078110205645,0.01039313570491219,0.021864261679407703,-0.009044533782836227,0.0025502034461261976
0.0035457930828535346,0.009834147862657171,0.022484293507656187,-0.006327839627267138,0.0012088802384488744
0.003391009901999119,0.00920777690704001,0.02273478911575395,-0.003384167126051851,-0.0006994909153207265
0.0032264660984361233,0.008520173428561366,0.022610348348055108,-0.00022563288950166473,-0.0031639935999170383
0.003052270693742941,0.007778084466314875,0.022112319720492178,0.0031152486352959284,-0.005744295348364699
0.0028686492079381906,0.006988806849486651,0.021248795527865346,0.006561182915674096,-0.007682110133035347
0.0026759509100529465,0.0061601210306233495,0.02003446097990505,0.009974467058479786,-0.008245058428678021
0.002474646836482562,0.005300204362879595,0.018490299020366304,0.013153838852087636,-0.007092059542367569
0.0022653189777928373,0.004417525808760872,0.01664315876168038,0.015845850757339436,-0.004435539735530657
0.0020486428273210036,0.0035207273849629135,0.014525201798247792,0.01777070305384511,-0.0009184301142018434
0.001825366597300242,0.0026184996654104995,0.012173245266184947,0.01865977711339681,0.0026867909960303633
0.0015962904447980632,0.0017194586991612312,0.009628022584065794,0.018299311170966382,0.0057541329481516764
0.0013622483743571002,0.0008320304013924879,0.006933382955542192,0.016572712236283326,0.007910283767315342
0.0011240947938084248,-3.565292856637648e-05,0.004135450203889773,0.013493698362819726,0.008975447712055266
0.0008826973472532236,-0.0008758401922847753,0.0012817610186297583,0.00922389422731344,0.008858735060969224
0.0006389373524826649,-0.0016812302442160629,-0.0015795982031117529,0.004071017163200816,0.0075261646444327035
0.00039371835448939556,-0.0024450206164531984,-0.004400838953378523,-0.0015334418186971242,0.005061385322946763
0.00014798173836573316,-0.003160938022081763,-0.007135289472902648,-0.007075570107037292,0.0017414970584815669
-9.727353582818945e-05,-0.003823255880945296,-0.009738176101038753,-0.012015537131104929,-0.001964103529528389
-0.0003409713534362764,-0.00442680647466568,-0.012167361685517516,-0.015852960822329714,-0.005493429141538836
-0.0005819434483073777,-0.004966995504472759,-0.01438403667109535,-0.01819265259472074,-0.008328020294780648
-0.0008189223848292724,-0.005439824844817373,-0.016353357279696827,-0.01880095773350677,-0.010081778917833578
-0.0010505443157756283,-0.005841926270340878,-0.018045022922618788,-0.017643298871504013,-0.010512484870149883
-0.001275361909458122,-0.006170606250623919,-0.01943378313438309,-0.01489596423665597,-0.009499770655753585
-0.0014918670707280296,-0.006423900342742714,-0.02049986377565181,-0.0109292692443646,-0.0070577504523108075
-0.0016985228762158321,-0.006600635157942851,-0.02122930296004993,-0.006263957416909467,-0.003403497264715563
-0.001893804069951198,-0.0067004955920433075,-0.02161418837370602,-0.0015069154463331204,0.0009734835985660956
-0.002076245015658181,-0.0067240941335354925,-0.02165278850380926,0.0027249445381851965,0.005332223482054144
-0.0022444928759269415,-0.006673037114678527,-0.02134957028941673,0.005882791832481704,0.00884295082756793
-0.0023973620790400533,-0.006549979959304624,-0.020715095099476947,0.007556703914419816,0.010848762791172356
-0.002533884394739836,-0.006358660808414673,-0.019765784790957242,0.007531448266334604,0.0111011648652693
-0.0026533480459453988,-0.006103900898860122,-0.018523551472897103,0.005821170877017643,0.00983375804846086
-0.002755320028469922,-0.005791562066127423,-0.01701528979537286,0.002678473639749437,0.007614921217600282
-0.0028396483721876246,-0.005428456952688711,-0.015272239139525787,-0.0014250987960523495,0.005044537914954747
-0.0029064447035696706,-0.0050222145085631106,-0.01332923328702394,-0.00584791823960179,0.0024598005463629426
-0.002956050736955,-0.004581109603501579,-0.01122386406832966,-0.00985370923339254,-0.0001735706220865606
-0.0029889939312993646,-0.004113868733112911,-0.008995590526759774,-0.012706106254182031,-0.0031049735615827534
-0.0030059371668812395,-0.003629463326570571,-0.006684825570110106,-0.013770218857474124,-0.006458219440458391
-0.003007625787737749,-0.003136899589276712,-0.004332029474976201,-0.012606267293809741,-0.009919471718750072
-0.002994834155491213,-0.0026450116551333287,-0.0019768366070784978,-0.0090407571068716,-0.01267956504173377
-0.002968313906266801,-0.0021622647024688193,0.0003427599219178043,-0.003204389433908051,-0.013721102397372786
-0.002928747148816592,-0.001696576159075025,0.002591141606657597,0.004468368582670455,-0.012324811298620139
-0.0028767087085311742,-0.0012551641343959519,0.004735693580678696,0.013277331400321866,-0.008508281489222759
-0.00281264108253369,-0.0008444308529456827,0.006747311655547688,0.022327068405180214,-0.0031209813940784757
-0.002736843876844661,-0.00046988493436220995,0.008600777309392906,0.030621702817801424,0.0024861303094367094
-0.0026494770882320396,-0.00013610157732698994,0.010274999177425278,0.037173970280491686,0.007037329873587936
-0.0025505759373406116,0.00015328369940838748,0.011753126664033742,0.04111687178486441,0.009823268920944216
-0.002440074670782378,0.00039555304849351605,0.013022545520671648,0.04180518850882799,0.01083776266717893
-0.002317837405071447,0.0005888605326229546,0.01407476725301644,0.038894415345046875,0.0105292446453995
-0.0021836946982844076,0.0007321663486462385,0.014905225730526307,0.032387048037864206,0.009382182790175152
-0.0020374844274514037,0.0008251551644361984,0.015512996532818756,0.022640527124871537,0.007627624302689312
-0.0018790948616719248,0.0008681439886415499,0.01590045708120543,0.010336469820545625,0.005253644773292316
-0.0017085072783170477,0.0008619859258157405,0.01607290714875449,-0.0035842559279179067,0.0022512460978254584
-0.0015258356783055312,0.0008079757065770965,0.016038168859245437,-0.01801246546455313,-0.0011338212588039723
-0.00133136207089854,0.0007077611344919898,0.015806182933401,-0.03177732193812478,-0.004354173743829692
-0.0011255667894418389,0.0005632626779826797,0.01538861495369761,-0.04375743263498196,-0.006757695338996436
-0.0009091536957894521,0.0003766025312216431,0.014798483100706292,-0.052984863694159244,-0.00788263896170121
-0.0006830697364749537,0.00015004490458362405,0.014049817589791746,-0.05873123605009771,-0.007645335521116529
-0.00044851749513937357,-0.00011404956966445696,0.013157361297780916,-0.06056695633459217,-0.006310217054898843
-0.00020695874468088852,-0.0004132516684029778,0.012136319782766884,-0.058387885593902754,-0.004295261417715758
3.989303707190128e-05,-0.0007450703245491888,0.011002166377096449,-0.052408020197864134,-0.001970215376941996
0.00029009260055731025,-0.0011069364678683586,0.009770504274414109,-0.043121282513517205,0.00041823087789018027
0.0005414956483741873,-0.0014961643960663034,0.008456983076911135,-0.031239391221778757,0.0026773511872933294
0.0007918034929238192,-0.0019098935383644277,0.00707726286215972,-0.017615286143763106,0.0045524704666776855
0.0010386177635859392,-0.0023450155143201167,0.00564701516967232,-0.003162364049068339,0.00569003094910368
0.0012795026338041056,-0.002798092660915813,0.004181947896339988,0.011221116136261852,0.00573730956653105
0.0015120518064500623,-0.0032652746391909028,0.0026978400558940368,0.0247152661879255,0.004528264350266716
0.0017339574567879785,-0.0037422197189371674,0.0012105723350142672,0.03662501132305595,0.002233936107881894
0.0019430781016205006,-0.004224027536713262,-0.00026386031242487177,0.046407988157920466,-0.0006325624328241302
0.0021375017015400877,-0.0047051909276090015,-0.0017093675769520318,0.053684324363224956,-0.003381766583806357
0.0023155994556066256,-0.005179575405735634,-0.003109827212797256,0.05823046593233016,-0.00540496704963264
0.0024760654628884567,-0.0056404347242975635,-0.00444920383382555,0.05996083746834851,-0.006382970725537741
0.00261793848796742,-0.0060804683754851815,-0.005711729006357592,0.05890274662739172,-0.006330537326938196
0.002740604612261253,-0.00649192175195048,-0.006882140841947292,0.05517112883143101,-0.005460374946859548
0.002843782728219883,-0.0068667235620186,-0.007945972675283939,0.04894957432672163,-0.003969184260798621
0.002927497207718388,-0.007196650519270831,-0.008889873761851217,0.04048190100861705,-0.001906905667974558
0.0029920425899782757,-0.007473508161343534,-0.009701942329435423,0.030074601177343185,0.0007613776349185689
0.0030379438864843703,-0.007689318686977352,-0.010372052634703451,0.01810618966939934,0.003932733532354964
0.00306591430328464,-0.007836509787388164,-0.010892160686803185,0.0050366544131240166,0.007153511763927067
