Delta,Theta,Alpha,Beta,Gamma
4.016308833457652e-09,6.796951767721779e-09,6.7969517677217754e-09,2.249472245197433e-06,4.062292853392769e-05
3.753280259558557e-08,6.327996495459444e-08,6.301010144263699e-08,1.948106280494098e-05,0.0002864456270566057
1.781199661281945e-07,2.9885704692437203e-07,2.958219182257549e-07,8.398337602456524e-05,0.0009250452788358124
5.841396092841436e-07,9.742060748627614e-07,9.567229516875206e-07,0.0002449336615384951,0.0017879076870335859
1.5117629763051913e-06,2.5030785544436845e-06,2.4334743095750684e-06,0.0005515976476417497,0.002164776730393847
3.322160562846187e-06,5.454279484818218e-06,5.237006135747675e-06,0.001031406928431577,0.0012327193591653597
6.4819429583485235e-06,1.0539324671532892e-05,9.969312100965764e-06,0.0016717392879674043,-0.0011949708261529178
1.155880461150161e-05,1.8589532625232044e-05,1.727735413323598e-05,0.0024109655500267006,-0.004269367818257681
1.9213810351046452e-05,3.052556076713387e-05,2.7797734127141132e-05,0.0031411753644176024,-0.0064479426460337655
3.0190103731136535e-05,4.731965978470873e-05,4.209445648547012e-05,0.0037213416804046506,-0.006394750662642247
4.529669696062517e-05,6.994914135535084e-05,6.05905481140889e-05,0.00399737919732104,-0.0038295670548298814
6.538656479569727e-05,9.934068165901113e-05,8.349563568220716e-05,0.0038252765730984344,0.0002570049567203982
9.133018597075337e-05,0.00013630850072789222,0.00011073513706054689,0.0030944312897223736,0.004165135209843177
0.0001239875513021203,0.00018149268859356322,0.00014188988909991885,0.0017490952840556104,0.006441476827520348
0.0001641822335308692,0.00023530481505974014,0.00017615550830750034,-0.00019429674900085371,0.006607080645848358
0.00021268021942033602,0.0002978861956213229,0.00021232828631452422,-0.002636788654544592,0.005230376890577985
0.00027017464270550197,0.00036908122785168007,0.0002488204966432147,-0.005396567574414336,0.0033812818257921273
0.0003372762372070851,0.00044842567551987817,0.0002837044015882989,-0.008220635476608472,0.0018948303709658046
0.00041450856116050317,0.0005351482233003283,0.0003147816938889216,-0.010808518141246093,0.0009363128000679364
0.0005023065856819326,0.0006281826568625305,0.00033967328053994785,-0.012845822913803862,9.226892379563326e-05
0.0006010168712225124,0.0007261872737974318,0.00035592290738927586,-0.014043598053246974,-0.0011621975485580798
0.0007108974344813075,0.0008275678772182889,0.0003611074530817625,-0.014178167430526724,-0.002985460484702949
0.0008321158313303287,0.0009305014431062357,0.00035294730150338887,-0.013125480936575463,-0.004991242425531779
0.0009647448778313597,0.001032959132914278,0.000329411849078096,-0.010884266320452854,-0.006442106432261527
0.001108756245606748,0.0011327287598456195,0.0002888168610775039,-0.007583707158498372,-0.00665238944740516
0.0012640123494997123,0.0012274371547434059,0.00022991103614158323,-0.003473950191605802,-0.005348733469246973
0.0014302565586537224,0.0013145722358885164,0.00015194886672034597,0.0010992413682913147,-0.002804773088343631
0.0016071015215947417,0.0013915042040924235,5.474694710657545e-05,0.005731960382008537,0.00028795981463732105
0.0017940159970297406,0.001455506340264278,-6.12775386409801e-05,0.010006857259656759,0.0031212461753492775
0.0019903119452251835,0.0015037781991361792,-0.00019508455541134944,0.013540036273490305,0.005088042091486908
0.0021951348419651474,0.0015334759527623938,-0.00034500117132454916,0.01602524134522256,0.0059706095068037335
0.0024074602331530903,0.0015417545265898143,-0.0005087195432243485,0.017270311709537123,0.005922248310279737
0.0026260982749178336,0.00152582372441623,-0.0006833010812049723,0.017220827296134455,0.005272009977518157
0.002849706208911684,0.001483017206869608,-0.0008651882257444182,0.015966690807935432,0.004278993382265644
0.0030768074712002936,0.0014108708511510802,-0.0010502274950723821,0.013729628626844612,0.002992844483002017
0.0033058158298712266,0.001307206387642877,-0.0012337078236662252,0.010832825138237795,0.001307770574907148
0.0035350631064315846,0.001170216443322527,-0.0014104175399661549,0.007657012090995587,-0.0008369353853546281
0.003762828937958322,0.000998546981999781,-0.0015747228900625505,0.004589326919703815,-0.0032638384964813983
0.003987370554672265,0.0007913724113817586,-0.0017206710258365796,0.0019719320070003188,-0.005521998108495162
0.004206950285564332,0.0005484583720652752,-0.001842119792181211,5.720268923982697e-05,-0.0070437618251457355
0.004419859089853128,0.00027020849155784307,-0.0019328944302921171,-0.0010243705929996751,-0.007390129338075239
